State,Total_GDP,Top_Industry,Top_Industry_GDP
Alabama,169925.6654,"Finance, insurance, real estate, rental, and leasing",29975.33462
Alaska,43163.89615,"Mining, quarrying, and oil and gas extraction",9956.826923
Arizona,257231.1538,"Finance, insurance, real estate, rental, and leasing",58981.53462
Arkansas,99730.49615,Manufacturing,16541.26154
California,2023518.562,"Finance, insurance, real estate, rental, and leasing",399198.3923
Colorado,263003.2308,"Finance, insurance, real estate, rental, and leasing",55609.76923
Connecticut,219924.0038,"Finance, insurance, real estate, rental, and leasing",62464.43462
Delaware,58250.31154,"Finance, insurance, real estate, rental, and leasing",26004.03462
Florida,767913.6308,"Finance, insurance, real estate, rental, and leasing",186414.0808
Georgia,437284.9231,"Finance, insurance, real estate, rental, and leasing",91301.31154
Hawaii,60511.15,"Finance, insurance, real estate, rental, and leasing",13847.23462
Idaho,57021.5,"Finance, insurance, real estate, rental, and leasing",10297
Illinois,660826.7462,"Finance, insurance, real estate, rental, and leasing",151217.4577
Indiana,282204.2346,Manufacturing,79214.59615
Iowa,142753.7423,"Finance, insurance, real estate, rental, and leasing",32202.27692
Kansas,125435.6269,"Finance, insurance, real estate, rental, and leasing",22183.49615
Kentucky,160119.9577,Manufacturing,30970.59231
Louisiana,197210.5769,Manufacturing,38923.05769
Maine,51214.16923,"Finance, insurance, real estate, rental, and leasing",11300.31923
Maryland,292054.5923,"Finance, insurance, real estate, rental, and leasing",62597.85
Massachusetts,405366.8577,"Finance, insurance, real estate, rental, and leasing",93771.28077
Michigan,417436.3,Manufacturing,83205.46538
Minnesota,275334.5192,"Finance, insurance, real estate, rental, and leasing",58220.48462
Mississippi,89188.75769,Manufacturing,14580.13846
Missouri,251439.6423,"Finance, insurance, real estate, rental, and leasing",50001.53077
Montana,36719.42692,"Finance, insurance, real estate, rental, and leasing",6919.230769
Nebraska,91914.48461,"Finance, insurance, real estate, rental, and leasing",18368.02692
Nevada,124888.2346,"Finance, insurance, real estate, rental, and leasing",25822.43846
New Hampshire,63553.13077,"Finance, insurance, real estate, rental, and leasing",14464.07308
New Jersey,483266.2577,"Finance, insurance, real estate, rental, and leasing",109862.8846
New Mexico,76264.14231,"Finance, insurance, real estate, rental, and leasing",11985.07308
New York,1226708.081,"Finance, insurance, real estate, rental, and leasing",399372.9231
North Carolina,411544.9769,"Finance, insurance, real estate, rental, and leasing",83495.2
North Dakota,37727.34231,"Finance, insurance, real estate, rental, and leasing",5789.326923
Ohio,517681.4769,"Finance, insurance, real estate, rental, and leasing",108440.6654
Oklahoma,147050.65,"Finance, insurance, real estate, rental, and leasing",21976.60385
Oregon,169844.8115,"Finance, insurance, real estate, rental, and leasing",32710.32308
Pennsylvania,586143.7231,"Finance, insurance, real estate, rental, and leasing",114609.5
Rhode Island,46624.10384,"Finance, insurance, real estate, rental, and leasing",11259.75769
South Carolina,168337.25,"Finance, insurance, real estate, rental, and leasing",31253.06538
South Dakota,38108.93077,"Finance, insurance, real estate, rental, and leasing",9950.819231
Tennessee,269352.0038,"Finance, insurance, real estate, rental, and leasing",46623.48077
Texas,1256011.365,"Finance, insurance, real estate, rental, and leasing",207404.4308
Utah,123255.1423,"Finance, insurance, real estate, rental, and leasing",27070.84231
Vermont,26038.91154,"Finance, insurance, real estate, rental, and leasing",5195.996154
Virginia,387552.0154,"Finance, insurance, real estate, rental, and leasing",77428.08462
Washington,378786.9692,"Finance, insurance, real estate, rental, and leasing",65689.30385
West Virginia,61151.86154,"Finance, insurance, real estate, rental, and leasing",8856.746154
Wisconsin,254487.7231,Manufacturing,50744.31538
Wyoming,31254.00769,"Mining, quarrying, and oil and gas extraction",7698.907692